"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"LTREB","44461","BG","2","COBBLE","12.5",NA,NA
"LTREB","44461","BG","3","COBBLE","26.5",NA,NA
"LTREB","44461","BG","4","COBBLE","29.25",NA,NA
"LTREB","44461","BG","5","COBBLE","29",NA,NA
"LTREB","44461","BN","1","COBBLE","33.25",NA,NA
"LTREB","44461","BN","2","COBBLE","34.5",NA,NA
"LTREB","44461","BN","3","COBBLE","34",NA,NA
"LTREB","44461","BN","4","COBBLE","29.25",NA,NA
"LTREB","44461","BN","5","COBBLE","30.25",NA,NA
"LTREB","44482","DL","1","COBBLE","18.5",NA,NA
"LTREB","44482","DL","2","COBBLE","16",NA,NA
"LTREB","44482","DL","3","COBBLE","12.5",NA,NA
"LTREB","44482","DL","4","COBBLE","21",NA,NA
"LTREB","44482","DL","5","COBBLE","17.75",NA,NA
"LTREB","44482","GR","2","COBBLE","33.5",NA,NA
"LTREB","44482","GC","3","COBBLE","45",NA,NA
"LTREB","44482","BN","1","COBBLE","29.75",NA,NA
"LTREB","44482","BN","2","COBBLE","35.25",NA,NA
"LTREB","44482","BN","3","COBBLE","38.5",NA,NA
"LTREB","44482","BN","4","COBBLE","36",NA,NA
"LTREB","44482","BN","5","COBBLE","40",NA,NA
"NFAS","44025","BN","1","COBBLE","33.3375",NA,NA
"NFAS","44025","BN","3","COBBLE","30.1625",NA,NA
"NFAS","44025","BN","4","COBBLE","20.6375",NA,NA
"NFAS","44025","BN","5","COBBLE","32.7025",NA,NA
"NFAS","44032","BN","1","COBBLE","26.75",NA,NA
"NFAS","44032","BN","2","COBBLE","19.75",NA,NA
"NFAS","44032","BN","3","COBBLE","12",NA,NA
"NFAS","44032","BN","4","COBBLE","24.5",NA,NA
"NFAS","44032","BN","5","COBBLE","27.25",NA,NA
"NFAS","44039","BN","1","COBBLE","35.72",NA,NA
"NFAS","44039","BN","2","COBBLE","32.0675",NA,NA
"NFAS","44039","BN","3","COBBLE","26.035",NA,NA
"NFAS","44039","BN","4","COBBLE","25.0825",NA,NA
"NFAS","44039","BN","5","COBBLE","21.9075",NA,NA
"NFAS","44046","BN","1","COBBLE","29.75",NA,NA
"NFAS","44046","BN","2","COBBLE","34.75",NA,NA
"NFAS","44046","BN","3","COBBLE","30.75",NA,NA
"NFAS","44046","BN","4","COBBLE","33.25",NA,NA
"NFAS","44046","BN","5","COBBLE","24",NA,NA
"NFAS","44053","BN","1","COBBLE","22.75",NA,NA
"NFAS","44053","BN","2","COBBLE","26.5",NA,NA
"NFAS","44053","BN","3","COBBLE","26.375",NA,NA
"NFAS","44053","BN","4","COBBLE","20.5",NA,NA
"NFAS","44053","BN","5","COBBLE","22.25",NA,NA
"NFAS","44067","BN","1","COBBLE","18",NA,NA
"NFAS","44067","BN","2","COBBLE","23",NA,NA
"NFAS","44067","BN","3","COBBLE","21",NA,NA
"NFAS","44067","BN","4","COBBLE","19.75",NA,NA
"NFAS","44067","BN","5","COBBLE","24.75",NA,NA
"NFAS","44076","BN","1","COBBLE","20.625",NA,NA
"NFAS","44076","BN","2","COBBLE","29",NA,NA
"NFAS","44076","BN","3","COBBLE","25",NA,NA
"NFAS","44076","BN","4","COBBLE","23.25",NA,NA
